Study,Measure,Control,Exposed,Malnutrition Category,OR ,LCI,UCI,Adjusted?,Control Number Survived,Control Number Died,Malnourished Number Survived,Malnourished Number Died,Total number in study,Other comment
"Agweyu, 2018",SD/ z-score,>-2,<-2 to <-3,w/a,2.1,1.7,2.5,,11766,469,1703,140,14078,
"Agweyu, 2018",SD/ z-score,>-2,<-2,w/a,2.5,2.1,2.9,,11766,469,2710,267,15212,
"Agweyu, 2018",SD/ z-score,>-2,<-3,w/a,3.2,2.6,3.9,,11766,469,1007,127,13369,
"Agweyu, 2018",SD/ z-score,>-3,<-3,w/a,2.8,2.3,3.4,,13469,609,1007,127,15212,
"Agrawal, 1995",% expected,>60%,<60%,w/a,7,2.2,22.2,,87,5,25,10,127,
"Banajeh, 1997",% expected,>80%,60-80%,w/a,3.7,1.1,12.7,,125,3,257,23,408,
"Banajeh, 1997",% expected,>80%,<80%,w/a,5.8,1.8,18.9,,125,3,352,49,529,
"Banajeh, 1997",% expected,>80%,<60%,w/a,11.4,3.4,38.8,,125,3,95,26,249,
"Banajeh, 1997",% expected,>60%,<60%,w/a,4,2.2,7.2,,382,26,95,26,529,
"Bahwere, 2004",SD/ z-score,>-2,<-2 to <-3 (no oedema),w/h,1.2,0.6,2.6,,477,43,89,10,619,
"Bahwere, 2004",SD/ z-score,>-2,<-2 (or presence of oedema) ,w/h,2.6,1.7,4,,477,43,221,52,793,
"Bahwere, 2004",SD/ z-score,>-2,<-3 (or kwashiorkor or oedema),w/h,3.5,2.2,5.6,,477,43,132,42,694,
"Bahwere, 2004",SD/ z-score,>-3 ,<-3 (or kwashiorkor or oedema),w/h,3.4,2.2,5.3,,566,53,132,42,793,
"Bokade, 2015",SD/ z-score,>-2,<-2 to <-3,w/a,4.2,1.5,11.9,,182,8,43,8,241,
"Bokade, 2015",SD/ z-score,>-2,<-2,w/a,3.6,1.4,8.9,,182,8,83,17,290,
"Bokade, 2015",SD/ z-score,>-2,<-3,w/a,5.1,1.9,14.1,,182,8,40,9,239,
"Bokade, 2015",SD/ z-score,>-3,<-3,w/a,3.2,1.3,7.7,,225,16,40,9,290,
"Chisti, 2010",% expected,>60%,<60%,w/a,10.7,0.6,200.2,,17,0,24,7,48,
"Chisti, 2011",SD/ z-score,>-3,<-3,w/a,5.3,2,14,,109,6,62,18,195,
"Collings, 1985",% expected,>80%,<80%,w/a,2.4,1.2,4.7,,239,17,128,22,406,
"Duke, 2001",% expected,>60%,<60%,w/a,6.3,2.7,14.6,,no raw data,,,,703,"670 well nourished, 33 malnourished"
"Demers, 2000",SD/ z-score,>-2,<-2,w/h,3.2,1.5,6.7,,296,31,36,12,375,
