r1	n1	r2	n2	r3	n3	g1	g2	g3	na	pi2
9	140	23	140	10	138	1	2	3	3	1
11	78	12	85	29	170	1	2	3	3	1
75	731	363	714	NA	1	1	2	NA	2	1
2	106	9	205	NA	1	1	2	NA	2	1
58	549	237	1561	NA	1	1	2	NA	2	1
0	33	9	48	NA	1	1	2	NA	2	1
3	100	31	98	NA	1	1	2	NA	2	1
1	31	26	95	NA	1	1	2	NA	2	1
6	39	17	77	NA	1	1	2	NA	2	1
79	702	77	694	NA	1	2	3	NA	2	1
18	671	21	535	NA	1	2	3	NA	2	1
64	642	107	761	NA	1	12	3	NA	2	0.6
5	62	8	90	NA	1	12	3	NA	2	0.5
20	234	34	237	NA	1	12	3	NA	2	0.4
0	20	9	20	NA	1	1	23	NA	2	0.7
8	116	19	149	NA	1	1	23	NA	2	0.5
95	1107	143	1031	NA	1	1	23	NA	2	0.6
15	187	36	504	NA	1	1	23	NA	2	0.5
78	584	73	675	NA	1	1	23	NA	2	0.6
69	1177	54	888	NA	1	1	23	NA	2	0.3
20	49	16	43	NA	1	1	23	NA	2	0.8
7	66	32	127	NA	1	12	3	NA	2	0.7
12	76	20	74	NA	1	1	3	NA	2	1
9	55	3	26	NA	1	12	3	NA	2	0.7
